apk,intention,transferred_countries,declared_safeguards,explicit_consent,countries,safeguard,copy,compliance
venome.spiderman.rope.hero.vice.rope.heros,True,United States,['dp_clause'],False,True,True,True,True
com.glaznev.innocent,True,United States,[],True,True,False,False,True
com.amazing.spider.rope.hero.ninja.gangster.crimecity,True,United States,['dp_clause'],False,True,True,True,True
com.wooga.pearlsperil,True,United States,[],True,True,False,False,True
com.spider.ropehero.gangster.crimecity,True,United States,['dp_clause'],False,True,True,True,True
com.bl.critical.strike,True,United States,['dp_clause'],False,True,True,True,True
com.ty.driftycar,True,United States,['dp_clause'],False,True,True,True,True
com.rovio.angrybirdsfriends,True,United States,['dp_clause'],False,True,True,True,True
jailbriak.stickmarope.hero.gangasta.game,True,United States,['dp_clause'],False,True,True,True,True
com.bat.stickman.rope.hero.dark.pubg.duty.gangstar.mafia,True,United States,['dp_clause'],False,True,True,True,True
com.hypermania.merge.tower.bots,True,United States,['dp_clause'],False,True,True,True,True
us.army.men.toys.mafia.rope.hero.gta.ganagste,True,United States,['dp_clause'],False,True,True,True,True
io.amzing.rope.hero.spider.crime.gangaster.gta,True,United States,['dp_clause'],False,True,True,True,True
com.anti.gun.shooter,True,United States,['dp_clause'],False,True,True,True,True
com.glu.deerhunt16,True,United States,['dp_clause'],False,True,True,True,True
io.black.mafia.ironboy.spider.rope.heros,True,United States,['dp_clause'],False,True,True,True,True
com.glu.deerhunt2,True,United States,['dp_clause'],False,True,True,True,True
com.fixdapp.two,True,United States,['dp_clause'],True,True,True,False,True
black.mafia.ironboy.stickman.rope.heros,True,United States,['dp_clause'],False,True,True,True,True
com.home.news.breaking,True,United States,['dp_clause'],True,True,True,False,True
com.idrudgereport.iDrudgeReportUniversal,True,United States,['dp_clause'],False,True,True,True,True
com.babycenter.pregnancytracker,True,United States,['dp_clause'],False,True,True,True,True
com.huuuge.casino.slots,True,United States,['dp_clause'],False,True,True,True,True
com.home.emoticon.emoji,True,United States,['dp_clause'],True,True,True,False,True
com.chamberlain.android.liftmaster.myq,True,United States,['dp_clause'],False,True,True,True,True
com.home.horoscope,True,United States,['dp_clause'],True,True,True,False,True
com.honeywell.android.lyric,True,United States,['dp_clause'],False,True,True,True,True
com.xogrp.planner,True,United States,['dp_clause'],False,True,True,True,True
com.handy.handy.prod,True,United States,[],True,True,False,False,True
spider.panther.stickman.rope.hero.crime.city.army.battle.pubg,True,United States,['dp_clause'],False,True,True,True,True
com.qustodio.qustodioapp,True,United States,['dp_clause'],True,True,True,True,True
rope.ironman.vice.town,True,United States,['dp_clause'],False,True,True,True,True
com.blueduck.app,True,United States,['dp_clause'],False,True,True,True,True
ru.yandex.taxi,True,United States,['dp_clause'],False,True,True,True,True
net.medshr.android,True,United States,['dp_clause'],False,True,True,True,True
